name,Rounds played,Cheese gathered,Cheese gathered first,Bootcamp,Mice saved,Mice saved (hard),Mice saved (divine),Cheese gathered as shaman,url
k,2341163,470735,111541,1310,8564171,7305387,15481,21384,https://cheese.formice.com/transformice/tribe/143
E N l G M A,33331043,14860328,4709571,587753,25391448,12855817,8385785,1359992,https://cheese.formice.com/transformice/tribe/917362
The Diamond Micehood,19552897,9315082,2056098,256316,13803473,6527488,2840774,618896,https://cheese.formice.com/transformice/tribe/11494
XXXXXXXXXXXX,26302119,10841944,2376684,352666,14072956,5139508,3975466,696314,https://cheese.formice.com/transformice/tribe/414108
it's R E A L,67426653,22031793,1963792,663964,15398562,5668142,3058724,826213,https://cheese.formice.com/transformice/tribe/946862
Treme nao bb,53481255,17612953,2747907,478314,14433707,5125496,3041857,829684,https://cheese.formice.com/transformice/tribe/1021239
I keep my promises kid,12017809,5432680,2168431,133807,9938646,5329503,3145544,487076,https://cheese.formice.com/transformice/tribe/794605
Oldschool,16971606,6871359,1950309,99887,9957968,4210261,438780,390077,https://cheese.formice.com/transformice/tribe/2795
Onde Fracos Nao Tem Vez',45948275,14898055,2502366,432326,11967003,4095508,3586359,693461,https://cheese.formice.com/transformice/tribe/1113615
Aftershock,8004597,3333718,1084353,105562,6911952,3723882,1939192,370431,https://cheese.formice.com/transformice/tribe/726986
SING LOUD,23212643,8390401,2108784,271179,9813772,4691503,2119341,526196,https://cheese.formice.com/transformice/tribe/920633
On My Way,17642827,7686216,377294,141131,7399614,1754812,2654205,210708,https://cheese.formice.com/transformice/tribe/91396
Kittens with Lazers,10186113,4658943,862986,100272,6378233,2325958,391462,247924,https://cheese.formice.com/transformice/tribe/19721
At Least We Tried,12233641,5305587,983432,109404,6642208,3034528,912824,304605,https://cheese.formice.com/transformice/tribe/33669
Let me hold you,13831632,5121853,1464768,101893,7242767,3519879,1751156,373198,https://cheese.formice.com/transformice/tribe/647237
Psychopatyczne Plody Zaglady,23322329,8357647,734874,169231,8118762,2546325,3154966,398572,https://cheese.formice.com/transformice/tribe/943015
w z r s,25825828,8731884,2458219,385825,7850708,3169902,2254543,458920,https://cheese.formice.com/transformice/tribe/1138251
Forgotten In Paradise,26317818,9492938,291791,62684,7250667,1797622,1797545,210484,https://cheese.formice.com/transformice/tribe/742644
Hnngghh,10353869,4513126,539537,36761,5924149,2345519,708740,199534,https://cheese.formice.com/transformice/tribe/47953
be god,28320557,8752291,1903829,3597620,8240380,3214727,2931007,458317,https://cheese.formice.com/transformice/tribe/1128947
I'm R E A L,36641788,11439549,773295,245060,7392141,2632163,1136142,372530,https://cheese.formice.com/transformice/tribe/1081840
Ocean Turtle,33964124,10904593,951200,226448,7049470,2371124,1770312,366124,https://cheese.formice.com/transformice/tribe/1127963
Nameless vipper,7038877,3788692,340518,160411,4554620,1274097,1017567,147629,https://cheese.formice.com/transformice/tribe/1164
Black Lodge,25759317,9006399,396020,110694,6715531,1995454,2138786,256594,https://cheese.formice.com/transformice/tribe/1078811
Clandesteam,6910054,3029141,806965,86449,4798401,1926546,356595,210510,https://cheese.formice.com/transformice/tribe/1480
f u r i a,16247332,5625885,2249089,695709,5574924,2411193,2057093,325271,https://cheese.formice.com/transformice/tribe/1142054
just one tribe,4434652,2016605,712748,62016,4023541,2370385,890254,193005,https://cheese.formice.com/transformice/tribe/1127537
Marzyciele,19534631,6767823,641730,131086,6395616,2374163,1709206,302912,https://cheese.formice.com/transformice/tribe/225919
Three Feathers,9488717,4071381,588817,70528,5063553,2649148,887863,218070,https://cheese.formice.com/transformice/tribe/255154
<R>,1832629,1036184,451915,83363,2628575,1372691,803840,133765,https://cheese.formice.com/transformice/tribe/414558
HAITA ALPHA,30298403,9599315,401337,99197,6446623,1732085,1397659,236600,https://cheese.formice.com/transformice/tribe/881897
Muramasa,4192787,2173989,482617,72560,3631737,1681316,1252785,185889,https://cheese.formice.com/transformice/tribe/1032802
Matriarca,5268239,2218709,849929,246778,4102871,1863188,1533668,207774,https://cheese.formice.com/transformice/tribe/1076031
Too Cute to Be Real,8724550,3761347,547963,98131,4619066,1602610,697642,196410,https://cheese.formice.com/transformice/tribe/23294
Kompania X,27815098,8897974,388443,111925,6033336,1676498,1527043,245770,https://cheese.formice.com/transformice/tribe/1067823
Loucura extreme,2,2841,2,0,3,0,0,0,https://cheese.formice.com/transformice/tribe/687905
Somos el mundo,29637218,9171680,621049,269241,5855906,2171789,907700,286598,https://cheese.formice.com/transformice/tribe/1066213
EPM,5381853,2514679,541062,80461,3805169,1377665,317680,159083,https://cheese.formice.com/transformice/tribe/11120
Broos Family,27570035,8967844,1819888,377008,4926419,2009197,877607,274704,https://cheese.formice.com/transformice/tribe/910254
oi,5978954,2515995,583511,50342,4076078,1908530,1204713,203509,https://cheese.formice.com/transformice/tribe/452
